"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","De'Von Achane","MIA","rb","12","WAS","22.7","0","0","0","0","0","0","15.7791","76.4505","0.5543","6.8121","5.5435","39.5159","0.371","0.2639","0.1228","0.0423","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Christian McCaffrey","SF","rb","14","@ARZ","22.1","0","0","0","0","0","0","17.3471","72.0192","0.4934","6.8969","5.6598","47.8064","0.2514","0.2953","0.1369","0.0384","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Ja'Marr Chase","CIN","wr","10","@PIT","22","0","0","0","0","0","0","0.1401","0.8247","0.0038","12.4166","8.6931","96.3378","0.5873","0.0977","0.0537","0.0272","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Bijan Robinson","ATL","rb","5","CAR","20.2","0","0","0","0","0","0","15.5787","72.9838","0.5043","6.4597","5.0447","39.1944","0.1691","0.272","0.1264","0.0321","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Jaxon Smith-Njigba","SEA","wr","8","@LA","20.9","0","0","0","0","0","0","0.2925","1.5997","0.0069","10.789","7.801","96.8247","0.5302","0.0913","0.0499","0.0323","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Puka Nacua","LA","wr","8","SEA","20.8","0","0","0","0","0","0","0.6096","3.3471","0.0305","11.0746","8.1467","95.1254","0.4358","0.103","0.0559","0.0285","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Josh Jacobs","GB","rb","5","@NYG","18.5","0","0","0","0","0","0","18.9345","85.0582","0.8847","3.0001","2.5091","18.9901","0.063","0.2756","0.1243","0.0324","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Amon-Ra St. Brown","DET","wr","8","@PHI","20","0","0","0","0","0","0","0.7848","4.8661","0.0511","9.7642","7.725","81.1965","0.5664","0.0963","0.052","0.0313","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Trey McBride","ARZ","te","8","SF","18.8","0","0","0","0","0","0","0","0","0","10.6165","7.7861","76.8224","0.5423","0","0","0.0258","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Jahmyr Gibbs","DET","rb","8","@PHI","17.4","0","0","0","0","0","0","13.041","59.8722","0.6158","5.0314","4.0622","26.7017","0.1713","0.22","0.1024","0.0337","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
